Imatest,4.5.13, , CPIQ Dot Chart Analysis
File,DotPattern_1.PNG
Run date,18-Jul-2017 10:37:10,,Build 2017-02-01

FOV Analysis

Dot Separation, 10.000000, cm,
Target Distance, 100.000000, cm,
HFOV, 88.984253, degrees,
VFOV, 75.001237, degrees,
DFOV, 106.622497, degrees,

Lateral Color Analysis

Image Size in Pixels
Image Height, 1000
Image Width, 1236
Image Radius, 7.949365e+02

Maximum LCA CPIQ Metric, 0.607771
CPIQ Quality Loss, 0.000000
Maximum LCA in Pixels, 0.759714
Number of Dots, 298

Radial Polynomial Coefficients (radius in normalized units), r^3, r^2, r^1, r^0
Red - Green, -0.105318, -0.289189, 1.184409, 0.003599
Blue - Green, 0.100106, 0.661003, -2.030558, 0.009739

Radial Polynomial Coefficients (radius in pixels), r^3, r^2, r^1, r^0
Red - Green, -0.000000, -0.000000, 0.001490, 0.003599
Blue - Green, 0.000000, 0.000001, -0.002554, 0.009739

Radial Distances (radius in pixels), Red, Green, Blue
, 604.636537, 603.941374, 602.845705
, 604.741276, 604.046119, 602.950468
, 612.736251, 612.035948, 610.931796
, 612.942343, 612.242055, 611.137911
, 625.922517, 625.215605, 624.094568
, 626.223755, 625.516850, 624.395822
, 643.587923, 642.862942, 641.730788
, 643.976146, 643.251183, 642.119011
, 665.124588, 664.387933, 663.229919
, 665.590655, 664.853859, 663.695846
, 689.846457, 689.102668, 687.908009
, 690.380625, 689.636841, 688.442175
, 717.087231, 716.327909, 715.102303
, 717.680593, 716.921298, 715.695672
, 551.068031, 550.420779, 549.381853
, 547.860387, 547.214937, 546.189895
, 551.185134, 550.537655, 549.498740
, 560.542782, 559.889532, 558.833574
, 560.771923, 560.118679, 559.062736
, 575.777106, 575.109539, 574.045590
, 576.110104, 575.442534, 574.378610
, 596.100673, 595.422646, 594.329552
, 596.526651, 595.848636, 594.755545
, 620.609112, 619.913350, 618.783721
, 621.116255, 620.420548, 619.290902
, 648.432336, 647.717208, 646.559847
, 649.009229, 648.294112, 647.136747
, 678.764827, 678.025310, 676.836960
, 679.400769, 678.661250, 677.472890
, 495.123091, 494.513827, 493.541871
, 491.341530, 490.742733, 489.781652
, 495.255533, 494.646042, 493.674097
, 506.303276, 505.693164, 504.702123
, 506.561093, 505.950990, 504.959976
, 524.151747, 523.520847, 522.507374
, 524.523219, 523.892442, 522.878983
, 547.675403, 547.025512, 545.976526
, 548.146225, 547.496350, 546.447364
, 575.705849, 575.041350, 573.961634
, 576.260804, 575.596313, 574.516588
, 607.142046, 606.450204, 605.340843
, 607.767009, 607.075171, 605.965804
, 641.007196, 640.292646, 639.145454
, 641.690062, 640.975229, 639.828029
, 436.831041, 436.283941, 435.396500
, 432.287400, 431.745203, 430.867994
, 436.982886, 436.436113, 435.548688
, 450.194546, 449.629331, 448.712903
, 450.488816, 449.923606, 449.007187
, 471.312221, 470.730927, 469.791043
, 471.731626, 471.150262, 470.210426
, 498.749936, 498.139891, 497.152661
, 499.274349, 498.664307, 497.677089
, 530.970933, 530.333645, 529.301042
, 531.581246, 530.943672, 529.911070
, 566.566472, 565.907619, 564.839379
, 567.245053, 566.586206, 565.517971
, 604.375539, 603.685489, 602.571484
, 605.108591, 604.418569, 603.304567
, 376.323710, 375.844425, 375.049625
, 370.771765, 370.296002, 369.500177
, 376.502645, 376.023526, 375.228752
, 392.559359, 392.054772, 391.240570
, 392.901372, 392.396808, 391.582635
, 417.854807, 417.315372, 416.448939
, 418.334226, 417.794591, 416.928052
, 450.080989, 449.517670, 448.606271
, 450.669630, 450.106266, 449.194918
, 487.214995, 486.615403, 485.654241
, 487.888041, 487.288451, 486.327282
, 527.496674, 526.870402, 525.852443
, 528.234185, 527.607903, 526.589952
, 569.612379, 568.940761, 567.869692
, 570.399063, 569.727375, 568.656329
, 306.910492, 306.498801, 305.834760
, 313.927288, 313.500139, 312.822538
, 314.144502, 313.717371, 313.039797
, 334.113845, 333.664937, 332.943021
, 334.520365, 334.071472, 333.349575
, 364.767583, 364.300406, 363.523045
, 365.322753, 364.855614, 364.078264
, 402.838566, 402.321912, 401.481523
, 403.503418, 402.986775, 402.146403
, 445.620918, 445.071905, 444.173825
, 446.364682, 445.815630, 444.917632
, 491.062161, 490.457449, 489.488719
, 491.862570, 491.257839, 490.289108
, 537.684150, 537.040085, 536.007522
, 538.525763, 537.881594, 536.849030
, 250.192034, 249.845963, 249.291639
, 240.978527, 240.641007, 240.092615
, 250.469515, 250.121075, 249.566755
, 276.020388, 275.638728, 275.032378
, 276.517111, 276.135453, 275.529114
